episode,worker_id,env_idx,reward,success,timeout,collisions,steps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
0,9,1,249.71428571428572,1,0,0,1,1.0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
1,5,0,249.71428571428572,1,0,0,1,0.995,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
2,6,1,170.45600769933665,1,0,0,102,0.990025,170.60812069401115,0,0,170.3848797496128,0,0,170.3354402612281,0,0,170.38590614086763,0,0,170.56569165096374,0,0
3,2,0,-429.4979809317965,0,1,0,700,0.985074875,-540.6566533536289,0,47,-406.0721676689124,0,2,-399.960344775776,0,0,-400.3810875524042,0,0,-400.4196513082602,0,0
4,10,0,-459.9511427897518,0,1,0,700,0.9801495006250001,-399.16783649057453,0,0,-549.1519579002897,10,0,-459.4055861566498,4,0,-453.5368339269194,0,18,-438.49349947432717,1,8
5,11,0,-399.63571142313685,0,1,0,700,0.9752487531218751,-399.31988829017706,0,0,-399.39424110664567,0,0,-399.7890198623048,0,0,-399.7498367135399,0,0,-399.92557114301536,0,0
6,1,0,-399.42005985850767,0,1,0,700,0.9703725093562657,-399.4139621997654,0,0,-399.63908393227433,0,0,-399.41057516906864,0,0,-399.3517575510552,0,0,-399.28492044037654,0,0
7,7,0,-424.90378593033677,0,1,0,700,0.9655206468094844,-525.438334478261,0,42,-399.6323234281448,0,0,-399.675023506025,0,0,-399.6719985497285,0,0,-400.101249689524,0,0
8,3,0,-399.0552211034914,0,1,0,700,0.960693043575437,-398.39666861738715,0,0,-398.96036511851776,0,0,-399.2156139202025,0,0,-399.2350429222393,0,0,-399.4684149391084,0,0
9,1,1,-1139.7660418811738,0,1,0,700,0.9558895783575597,-2139.5276929171755,116,0,-532.0381956709844,8,4,-1479.9487865014064,72,0,-735.9565638105319,18,22,-811.3589705057599,21,32
10,4,0,-519.3633386839361,0,1,0,700,0.9511101304657719,-413.6860540725498,1,0,-459.11710519919654,4,0,-609.6834862951604,14,0,-594.6644319819849,13,0,-519.6656158707891,8,0
11,2,1,-430.2537103697084,0,1,0,700,0.946354579813443,-438.0563941500586,0,13,-399.28091236918374,0,0,-399.85275870810284,0,0,-435.84528809426286,0,12,-478.2331985269335,0,26
12,7,1,-431.6035784292116,0,1,0,700,0.9416228069143757,-399.7866712747219,0,0,-399.9266496490775,0,0,-430.0507159623353,0,10,-489.6196988281411,0,30,-438.63415643178126,0,13
13,11,1,-490.36194544197537,0,1,0,700,0.9369146928798039,-549.128579239672,10,0,-576.1067058930079,0,59,-462.10163721263115,4,1,-453.17886916382787,0,18,-411.2939357007404,0,4
14,6,0,-504.1073702015861,0,1,0,700,0.9322301194154049,-519.3818671228984,8,0,-609.6570030774219,14,0,-486.6670710922207,3,14,-444.9232606687367,3,0,-459.90764904665275,4,0
15,8,0,-401.4187486099208,0,1,0,700,0.9275689688183278,-398.985588706558,0,0,-398.9480088627884,0,0,-402.13697553449373,0,1,-399.0307127505448,0,0,-407.9924571952202,0,3
16,4,1,-417.2349710315606,0,1,0,700,0.9229311239742362,-423.52484479107477,0,8,-405.5452506272843,0,2,-444.7309361067098,0,15,-400.1843260918075,0,0,-412.1894975409269,0,4
17,5,1,-534.9417138137835,0,1,0,700,0.918316468354365,-548.7060172802051,10,0,-593.9920680871674,13,0,-516.5123313870479,1,34,-399.5321907010274,0,0,-615.9659616134695,1,67
18,9,0,-532.4901924504763,0,1,0,700,0.9137248860125932,-713.9612292337653,21,0,-624.2332508200691,15,0,-414.47883420082144,1,0,-495.2876793812944,5,7,-414.4899686164313,0,5
19,10,1,-414.98299670489274,0,1,0,700,0.9091562615825302,-399.1962284144481,0,0,-399.1518624939428,0,0,-399.37345657178935,0,0,-468.6817393680729,0,23,-408.511696676211,0,3
20,8,1,-756.0437537589261,0,1,0,700,0.9046104802746175,-399.6235021366986,0,0,-813.5517560412477,23,23,-1503.826090505173,70,19,-663.6605671082184,13,23,-399.55685300329446,0,0
21,0,0,-510.19680786022326,0,1,0,700,0.9000874278732445,-407.8222730215134,0,3,-435.0084121927414,0,12,-399.40822917825903,0,0,-417.5102116897551,0,6,-891.2349132188496,0,164
22,0,1,-635.4335326399683,0,1,0,700,0.8955869907338783,-444.5362268300803,0,15,-399.5364455269616,0,0,-1404.5294105918506,67,0,-489.49988470998875,6,0,-439.0656955409575,0,13
23,3,1,-467.33426733727117,0,1,0,700,0.8911090557802088,-513.8160158229055,0,38,-621.8643073578733,0,74,-400.0117937751857,0,0,-400.1925664293104,0,0,-400.7866533010798,0,0
24,5,0,-425.7928881046659,0,1,0,700,0.8866535105013078,-420.6598245178306,0,7,-507.56826235180216,0,36,-399.39681658439156,0,0,-399.16505476389835,0,0,-402.17448230540475,0,1
25,8,0,249.71428571428572,1,0,0,1,0.8822202429488013,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
26,9,1,-468.3603537606246,0,1,0,700,0.8778091417340573,-495.9137345853405,0,32,-501.5858899855328,0,34,-465.2913507262749,0,22,-437.9885937554922,0,13,-441.02219975048405,0,14
27,7,1,191.65616891838565,1,0,0,75,0.8734200960253871,191.66136413198447,0,0,191.66097239935846,0,0,191.66000966372505,0,0,191.65550454870333,0,0,191.642993848157,0,0
28,6,1,-430.7533816000277,0,1,0,700,0.8690529955452602,-429.31807640756983,0,10,-435.3925280014071,0,12,-447.6289120929323,0,16,-438.51935715266666,0,13,-402.9080343455615,0,1
29,6,1,249.71428571428572,1,0,0,1,0.8647077305675338,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
30,10,1,29.615819970829364,1,0,0,273,0.8603841919146962,36.05466435635685,0,0,35.933464137221165,0,0,36.260431155144886,0,0,3.2673157146427343,0,11,36.56322449078132,0,0
31,6,1,-211.91484589273986,1,0,0,584,0.8560822709551227,-223.3438937996497,0,5,-208.01999311281932,0,0,-207.65339731264382,0,0,-210.2398406387869,0,1,-210.31710459980062,0,1
32,9,0,-538.5882975514447,0,1,0,700,0.851801859600347,-567.4099905056635,8,16,-789.4046483101856,26,0,-429.3920491613994,2,0,-432.3729390468458,0,11,-474.36186073312905,5,0
33,7,0,-399.0003925260654,0,1,0,700,0.8475428503023453,-398.14233867974593,0,0,-398.71512286956397,0,0,-399.2098241593303,0,0,-399.1975444067691,0,0,-399.7371325149167,0,0
34,0,0,-418.5670338542861,0,1,0,700,0.8433051360508336,-488.70166698851415,0,30,-399.1901630666249,0,0,-399.71257775277974,0,0,-399.6433900347463,0,0,-405.58737142876487,0,2
35,1,0,-400.7463675651871,0,1,0,700,0.8390886103705794,-405.23128328038564,0,2,-399.39674652034756,0,0,-399.4957771304769,0,0,-399.5806055558881,0,0,-400.0274253388387,0,0
