episode,worker_id,env_idx,reward,success,timeout,collisions,steps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
0,0,1,-95.50782361456336,1,0,0,436,-109.00432244368963,0,6,-219.92225256562233,0,1,-216.8586609363556,0,0,-216.8072029054165,0,0,-216.660964936018,0,0
1,3,2,-397.59261462518157,1,0,0,471,-463.7439396423953,23,0,-735.5682697892189,25,43,-291.5475712418556,2,9,-654.9656224548817,27,5,-303.8519557118416,1,18
2,0,1,59.87706104772434,1,0,0,206,-54.481198928185876,0,48,-101.58885195851326,0,0,-104.68727627396584,0,1,-102.07021948695183,0,0,-102.3585766851902,0,0
3,3,0,-728.5959541141988,0,1,0,700,-579.0839298963547,8,20,-511.5838560163975,9,9,-1627.8367713689804,81,21,-350.01359671354294,0,0,-374.4616165757179,0,8
4,3,1,-399.50698387622816,0,1,0,700,-399.4566915631294,0,0,-349.5928316414356,0,0,-349.881899446249,0,0,-349.5127902328968,0,0,-349.0907064974308,0,0
5,1,0,-926.9482953369621,0,1,0,700,-1890.2450757622719,87,62,-1045.1679578721523,39,37,-349.2130253612995,0,0,-720.7822501063347,22,14,-429.3331675827503,3,12
6,1,1,-707.7314439654352,0,1,0,700,-1007.8271890878677,29,58,-682.4133610129356,20,11,-406.39848190546036,0,20,-490.4392346739769,6,17,-751.5789531469345,14,65
7,0,0,-910.0770878970625,0,1,0,700,-1371.3756637573242,63,9,-1324.8340614438057,62,15,-392.1432683169842,0,14,-455.5020260512829,0,35,-806.5304199159145,26,22
8,1,2,-1241.4907573223115,0,1,0,700,-2247.4289095401764,122,6,-925.9951478838921,37,7,-719.4039264917374,21,18,-494.7514134347439,0,48,-1619.8743892610073,80,23
9,5,0,-666.7346403658398,0,1,0,700,-1128.1615204513073,47,8,-526.7574158012867,10,9,-571.8906319439411,0,75,-460.89991530776024,0,37,-445.9637183248997,0,33
10,2,0,-413.49732173681235,0,1,0,700,-469.7627485394478,1,19,-351.19095528125763,0,1,-348.55739137530327,0,0,-348.94436052441597,0,0,-349.0311529636383,0,0
11,6,0,-810.4498300254342,0,1,0,700,-810.2682118415833,20,37,-463.4510242342949,7,3,-949.4967610239983,40,0,-838.5325372815132,23,48,-790.5006157457829,24,28
12,4,0,-422.5834214806558,0,1,0,700,-412.86459773778915,1,0,-453.28840160369873,7,0,-348.72527289390564,0,0,-349.02283465862274,0,0,-349.0160005092621,0,0
13,7,0,-544.2814170360571,0,1,1,700,-647.1684688329697,15,13,-600.3075174093246,15,9,-459.47210344672203,5,12,-465.6615836620331,0,39,-348.79741182923317,0,0
14,1,3,-914.8655300915244,0,1,0,700,-1119.38184979558,38,50,-820.9330686032772,30,7,-464.16896322369576,5,14,-947.1543602049351,37,14,-1022.6894086301327,44,4
15,5,1,-522.3644179999832,0,1,0,700,-539.4980555772781,0,47,-426.8991318643093,0,26,-441.7016467154026,0,31,-567.8463738262653,8,33,-435.8768820166588,0,29
16,2,1,-1157.021523571014,0,1,1,700,-1016.8866380751133,28,66,-664.4305412173271,14,35,-487.99154525995255,8,6,-1751.434881478548,88,27,-1664.364011824131,82,33
