episode,worker_id,env_idx,reward,success,timeout,collisions,steps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
0,3,1,249.71428571428572,1,0,0,1,249.71428571428572,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
1,10,0,-309.8536140578134,1,0,68,446,-218.9654240863664,8,0,-221.21295574307442,0,0,-476.0286455154419,17,0,-851.131733328104,42,0,-272.21502590179443,1,12
2,8,0,-116.46055995311062,1,0,0,454,-122.63524214710509,0,6,-266.865748912096,0,14,-224.50129038095474,0,0,-224.65617141127586,0,0,-224.78720405697823,0,0
3,3,0,-466.82865573167817,0,1,0,700,-432.8708488345146,0,11,-530.1129156649113,0,60,-428.3761157989502,0,26,-350.4116374850273,0,0,-392.37176087498665,0,14
4,10,1,-880.9281696200378,0,1,151,700,-433.425827562809,0,12,-785.5059551894665,23,31,-1142.9267726540565,53,0,-1413.2087950408459,71,0,-429.5734976530075,4,7
5,11,0,-871.1938407063485,0,1,154,700,-1551.2052216529846,78,0,-1486.4368284344673,76,0,-346.5461094081402,0,0,-349.687781393528,0,1,-422.093262642622,0,25
6,11,1,-544.8253976821898,0,1,4,700,-446.70925039052963,0,16,-586.2762567996979,0,79,-418.77884274721146,0,23,-578.2058450877666,0,76,-494.1567933857441,4,28
7,4,0,-451.9874715983869,0,1,2,700,-539.7648925483227,0,47,-355.08549442887306,0,2,-439.284615367651,2,21,-349.1926049888134,0,0,-376.6097506582737,0,10
8,4,1,-712.8399863779541,0,1,87,700,-1177.4242301881313,52,0,-587.4059225320816,17,0,-443.5481615662575,0,32,-684.1207987070084,18,22,-471.70081889629364,0,41
9,8,1,-2238.663469737767,0,1,588,700,-1332.5434983074665,53,47,-4300.3670843839645,263,2,-3772.7045216560364,221,36,-1228.8077369332314,51,39,-358.8945074081421,0,3
10,6,0,-428.573907220363,0,1,0,700,-442.75427609682083,0,14,-381.1015711426735,0,10,-351.19902434945107,0,0,-372.2086873948574,0,8,-395.6059771180153,0,15
11,6,1,-590.9231213033197,0,1,36,700,-432.7424581348896,0,11,-611.0768485963345,0,87,-467.27551206946373,0,39,-890.3418726921082,36,0,-353.1789150238037,0,1
12,9,0,-888.2093498706818,0,1,141,700,-1150.08157902956,48,11,-1397.1919845342636,65,30,-668.1881049871445,8,72,-557.6062019765377,14,0,-467.97887882590294,6,15
13,9,1,-1024.015258342028,0,1,208,700,-1089.3847423493862,46,0,-1369.8434640169144,68,0,-1145.2308614253998,53,0,-965.3173563182354,41,0,-350.29986760020256,0,0
14,0,0,-591.766212207079,0,1,30,700,-447.9316480457783,0,17,-407.2005467116833,4,0,-620.3560444116592,0,91,-623.5441603064537,12,32,-659.7986615598202,14,34
15,0,1,-511.8388872265813,0,1,3,700,-519.3650203049183,0,40,-427.4288239479065,0,26,-394.70403826236725,3,0,-598.6734869480133,0,83,-419.02306666970253,0,23
16,7,0,-500.93804795145996,0,1,0,700,-429.1561264395714,0,10,-685.6155791282654,0,112,-349.4886996746063,0,0,-400.8074671924114,0,17,-439.6223673224449,0,30
17,7,1,-2907.598377060891,0,1,784,700,-850.2464925944805,18,60,-1877.3362167477608,80,109,-4745.405889838934,275,91,-4490.093356192112,276,0,-2374.909929931164,135,0
18,2,0,-590.9524803519244,0,1,32,700,-446.0094252228737,0,16,-654.3200781643391,0,102,-552.4963496029377,6,38,-738.3894642591476,26,0,-363.5470845103264,0,5
19,2,1,-809.5503991246228,0,1,130,700,-1698.1741841435432,81,28,-364.67846500873566,0,5,-709.8000045716763,24,0,-724.8730682730675,25,0,-350.2262736260891,0,0
20,5,0,-503.0138346791267,0,1,0,700,-441.76107397675514,0,15,-410.0296080708504,0,21,-362.4617974758148,0,5,-530.775389790535,0,61,-570.0413040816784,0,74
21,5,1,-519.5580110549927,0,1,0,700,-530.3732783794403,0,44,-423.70824259519577,0,25,-364.21468755602837,0,5,-589.2886658012867,0,81,-490.20518094301224,0,47
22,1,0,-542.2959394931796,0,1,24,700,-742.4475648403168,24,0,-416.46586644649506,0,23,-347.46684435009956,0,0,-500.7577469944954,0,51,-504.3416748344898,0,52
23,1,1,-476.99071429967864,0,1,0,700,-446.5432937145233,0,16,-667.0649963915348,0,106,-352.60999968647957,0,1,-350.15303468704224,0,0,-368.5822470188141,0,6
24,5,1,249.71428571428572,1,0,0,1,249.71428571428572,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
25,3,1,-484.94360021948864,0,1,28,700,-398.48930433392525,0,0,-363.4896166920662,1,0,-609.4879364073277,17,7,-486.5105499327183,10,1,-366.74059373140335,0,6
26,8,1,249.71428571428572,1,0,0,1,249.71428571428572,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
27,2,1,-19.633898729937442,1,0,63,111,133.287669049842,2,0,-895.1335297524929,57,0,-100.049675822258,4,0,-54.83183678984642,0,0,-54.584977477788925,0,0
28,1,0,6.380491023404289,1,0,0,195,7.9694241455623,0,31,-186.46256130933762,0,30,-96.73302567005157,0,0,-217.09387934207916,0,40,-252.9203598499298,0,52
29,2,1,143.11735315152578,1,0,0,131,147.33319378324916,0,0,-64.9750144481659,0,0,-64.56729084253311,0,0,-67.26744797825813,0,1,-85.22238904237747,0,7
30,10,0,-1092.8835993289958,0,1,8,700,-743.9785793423653,0,115,-652.36234369874,0,101,-697.1676096916199,5,92,-1960.4552227556705,3,523,-1210.454241156578,0,288
31,8,0,-1142.10036867857,0,1,9,700,-1031.6981569826603,0,211,-1957.056985706091,0,537,-349.17331275343895,0,0,-1141.5931423008442,6,234,-1030.9802456498146,3,213
32,4,0,-1221.0765181899062,0,1,0,700,-1113.1242021024227,0,238,-1636.4977160394192,0,429,-2191.746534526348,0,615,-349.8237700164318,0,0,-614.1903682649136,0,89
33,5,0,-2149.9248057901823,0,1,288,700,-1248.6761116981506,2,274,-3260.22757807374,102,461,-3098.3714461922646,129,271,-1736.569799989462,55,188,-1205.7790929973125,0,286
34,2,0,-1431.497471547126,0,1,37,700,-1257.03599691391,0,287,-1864.4872278869152,1,501,-1471.5563151836395,26,245,-1183.6557136178017,10,228,-1180.7521041333675,0,278
35,6,0,-1435.4398888051508,0,1,0,700,-1716.8032000660896,0,440,-1997.0726458132267,0,550,-622.7728775441647,0,91,-739.8568866252899,0,131,-1900.693833976984,0,517
36,3,0,-1429.4002604901798,0,1,0,700,-520.6244580745697,0,40,-710.3980888426304,0,120,-2222.49719068408,0,625,-1124.2239963114262,0,258,-2369.257568538189,0,674
