episode,worker_id,env_idx,reward,success,timeout,collisions,steps,eps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
1825,0,0,240.34341483456544,1,0,0,13,0.05,240.42135306545552,0,0,240.30181982821793,0,0,240.31848491826304,0,0,240.29943741464513,0,0,240.37597894624548,0,0
1826,2,1,204.84908053107205,1,0,0,59,0.05,205.21315776621626,0,0,204.8155163114224,0,0,204.7699593138595,0,0,204.83593622999595,0,0,204.6108330338659,0,0
1827,4,0,180.79460711248618,1,0,0,89,0.05,181.09786744508514,0,0,180.84731037680234,0,0,180.81005795269,0,0,180.58990134069376,0,0,180.62789844715962,0,0
1828,4,0,249.71428571428572,1,0,0,1,0.05,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0,249.71428571428572,0,0
1829,4,1,125.37860512821268,1,0,0,161,0.05,125.92735970066548,0,0,125.63947877772411,0,0,125.19636542849443,0,0,125.27293795562873,0,0,124.8568837785508,0,0
0,2,0,48.684009506203026,1,0,0,257,1.0,48.84514409920848,0,0,48.698125467824525,0,0,48.669031471117975,0,0,48.62661666987283,0,0,48.581129822991116,0,0
1,3,0,-790.4200941799313,0,1,0,700,0.995,-582.6053624981532,7,26,-1044.3958531011808,43,0,-1197.3753212793692,38,76,-714.0461206793206,21,0,-413.67781334162987,1,0
2,6,0,-489.3132990081946,0,1,0,700,0.990025,-398.9032909106503,0,0,-399.4783453399228,0,0,-414.4438870907558,1,0,-594.405558974422,13,0,-639.3354127252234,16,0
3,7,0,-593.6377467323883,0,1,1,700,0.985074875,-668.6426294227986,18,0,-848.9811148616992,29,10,-618.4488011436131,13,8,-402.33021388822567,0,1,-429.78597434560623,0,10
4,0,0,-814.6361405316748,0,1,1,700,0.9801495006250001,-525.3702272651242,9,2,-789.4546210714375,26,0,-1722.5074458856543,79,46,-585.5449959012255,11,7,-450.3034125349295,0,17
5,4,0,-478.03278878274375,0,1,0,700,0.9752487531218751,-489.68524175284483,0,30,-399.8337563276402,0,0,-549.8365833908822,10,0,-520.1380388138662,8,0,-430.67032362848573,0,10
6,1,0,-579.5294608546809,0,1,0,700,0.9703725093562657,-429.64289174507815,2,0,-684.5773820206549,19,0,-483.637470382947,0,28,-453.3960220985266,0,18,-846.3935380261964,27,14
7,2,1,-441.48655357265136,0,1,1,700,0.9655206468094844,-503.96131653654214,7,0,-399.179610629321,1,0,-504.19650982192087,7,0,-399.809520024697,0,0,-400.285810850775,0,0
8,6,1,-479.2637898678696,0,1,0,700,0.960693043575437,-399.1278972326163,0,0,-414.3892277497949,1,0,-579.5938207163875,12,0,-486.68200343415,5,4,-516.5260002063982,1,34
9,5,0,-623.0365923630098,0,1,0,700,0.9558895783575597,-1133.4895763987931,49,0,-533.7670018991956,9,0,-495.28180920220115,6,2,-444.7845834657612,3,0,-507.8599908491055,7,1
10,7,1,-559.0161047132552,0,1,0,700,0.9511101304657719,-417.3748060601164,0,6,-456.60608831451253,0,19,-654.483545692421,17,0,-720.2240422275881,20,7,-546.3920412716393,4,29
11,0,1,-407.86892792432604,0,1,0,700,0.946354579813443,-405.5025734197214,0,2,-435.50505390096936,0,12,-399.60424673480594,0,0,-399.6073423089012,0,0,-399.1254232572328,0,0
12,3,1,-543.7786295454212,0,1,0,700,0.9416228069143757,-468.7325784864743,1,18,-438.91597106788333,0,13,-399.6833981072304,0,0,-609.8000981777425,0,70,-801.7611018877772,24,14
13,5,1,-456.1428952074012,0,1,0,700,0.9369146928798039,-398.92286511720187,0,0,-398.9996805347351,0,0,-399.0901036380107,0,0,-684.091176520928,19,0,-399.61065022612974,0,0
14,1,1,-443.9426569299823,0,1,1,700,0.9322301194154049,-428.3868042642038,2,0,-458.6435892584853,5,0,-534.1715920065129,9,0,-399.16220685155264,0,0,-399.3490922691588,0,0
15,4,1,-530.6937673572661,0,1,0,700,0.9275689688183278,-402.34141557898954,0,1,-420.28362807568817,0,7,-609.2024934221619,14,0,-714.1979230028574,21,0,-507.44337670663066,3,22
16,2,0,-419.74392623606207,0,1,0,700,0.9229311239742362,-399.2925078184325,0,0,-414.1481450250229,0,5,-468.1793748536894,0,23,-417.3907521036554,0,6,-399.7088513795118,0,0
17,2,1,-279.42765688546115,1,0,0,675,0.918316468354365,-278.89694481533945,0,0,-279.3955892370615,0,0,-279.38242878139965,0,0,-279.7239497802309,0,0,-279.7393718132756,0,0
18,1,0,-693.8613359724435,0,1,0,700,0.9137248860125932,-447.304313290898,0,16,-804.6136707202298,25,10,-1158.3444238828336,46,23,-570.242209974324,9,12,-488.80206199393274,6,0
19,5,0,-508.82382151066844,0,1,0,700,0.9091562615825302,-515.4309997332523,0,40,-507.015937409885,7,2,-399.08215132077953,0,0,-582.0626726220014,11,6,-540.5273464674249,8,7
20,0,0,-760.4443748012079,0,1,0,700,0.9046104802746175,-1734.1709509792497,89,0,-624.3335073586438,7,40,-504.4520728661533,0,35,-399.31211225263155,0,0,-539.9532305493592,0,47
21,3,0,-561.2981241918734,0,1,0,700,0.9000874278732445,-510.34551788443235,6,7,-398.9819405476297,0,0,-515.6955682731741,6,9,-593.4111906257167,11,10,-788.0564036284148,26,0
22,6,0,-498.495063957926,0,1,0,700,0.8955869907338783,-399.5907746138195,0,0,-549.4761824560832,10,0,-729.331409051228,22,0,-399.6667931567962,0,0,-414.4101605117029,1,0
23,7,0,-403.8989298023549,0,1,0,700,0.8911090557802088,-399.46922430669395,0,0,-399.3064364850937,0,0,-399.1187861373277,0,0,-398.92112120911077,0,0,-422.6790808735513,1,3
24,4,0,-399.3849206000927,0,1,0,700,0.8866535105013078,-398.851513930732,0,0,-399.28921338411163,0,0,-399.3608112528766,0,0,-399.67208259857927,0,0,-399.7509818341641,0,0
25,5,1,-432.11477000092975,0,1,0,700,0.8822202429488013,-429.1152175244391,0,10,-468.31240479643645,0,23,-399.5055365268631,0,0,-415.0289627534084,0,5,-448.61172840350196,0,16
26,1,1,-471.15736659201235,0,1,0,700,0.8778091417340573,-578.9642397174783,0,60,-527.9770817194083,0,43,-398.97976174151205,0,0,-429.4470738464884,0,10,-420.4186759351783,0,7
