episode,worker_id,env_idx,reward,success,timeout,collisions,steps,salp0_reward,salp1_reward,salp2_reward,salp3_reward,salp4_reward,salp0_collisions,salp1_collisions,salp2_collisions,salp3_collisions,salp4_collisions,salp0_wall_hits,salp1_wall_hits,salp2_wall_hits,salp3_wall_hits,salp4_wall_hits
0,1,1,208.92128825528278,1,0,0,53,208.86105959756034,0,0,208.90911578280586,0,0,209.00499742371696,0,0,208.91975717885154,0,0,208.91151129347938,0,0
1,0,0,178.6645722057138,1,0,0,80,187.85957060115678,0,0,-39.47632810473442,0,0,-84.51176205277443,3,0,-39.708082020282745,0,0,-39.41196596622467,0,0
2,11,1,-46.93970570479138,1,0,0,379,-47.103893267256865,0,0,-188.77383035421371,0,0,-188.61471489071846,0,0,-188.69360268115997,0,0,-188.36963018774986,0,0
3,4,1,-194.6108821298396,1,0,0,557,-186.38349608438355,0,0,-310.53986126184464,0,11,-277.18583592772484,0,0,-279.87639927864075,0,1,-282.4973895251751,0,2
4,5,1,-489.578426053694,1,0,0,634,-415.4577636505876,2,46,-568.5104851424694,0,84,-637.1377173662186,16,28,-333.5958639085293,1,1,-768.6188716292381,21,46
5,5,0,-418.24224188412984,1,0,0,643,-325.26139546717917,1,19,-638.144669175148,3,91,-428.15083742141724,0,36,-368.1313605904579,0,16,-596.6658039093018,1,87
6,5,1,232.66126176885197,1,0,0,23,232.7257784860475,0,0,-10.832049369812012,0,0,-10.832698225975037,0,0,-10.732008039951324,0,0,-10.736999720335007,0,0
7,9,1,-526.9978868007657,1,0,0,665,-376.013948738575,7,0,-1048.563152551651,28,99,-370.55965703725815,0,13,-592.5461663007736,1,82,-487.3065093755722,0,52
8,9,1,249.71428571428572,1,0,0,1,249.71428571428572,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
9,9,1,249.71428571428572,1,0,0,1,249.71428571428572,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
10,1,0,-598.3896318018438,0,1,0,700,-396.7954714000225,0,0,-541.9348284602165,0,65,-482.29057109355927,0,45,-653.8897855877876,17,18,-717.0375024676323,9,79
11,9,0,-573.5691445469863,0,1,0,700,-543.1582737863064,0,48,-529.1236846446991,0,60,-556.598081111908,0,69,-517.9632810950279,0,56,-521.0024020969868,0,57
12,4,0,-708.839664173125,0,1,0,700,-475.5354219675064,1,21,-1106.6840290725231,40,53,-822.1800880432129,22,48,-417.1284301877022,1,18,-522.6703515946865,7,23
13,8,0,-546.3084932208064,0,1,0,700,-536.1494718194008,9,1,-711.2877070307732,14,51,-477.8371338546276,0,43,-397.10872676968575,0,17,-409.1594266295433,3,5
14,3,0,-457.08314133882527,0,1,0,700,-410.5163776278496,0,4,-531.5407164692879,0,61,-381.8389257490635,0,11,-367.29580521583557,0,6,-394.2238816320896,0,16
15,7,0,-446.23734936118126,0,1,0,700,-400.1596003174782,0,1,-515.4331262111664,0,56,-401.8107035756111,0,18,-350.907962679863,0,1,-362.87535402178764,0,5
16,6,0,-676.1323450744148,0,1,0,700,-515.3414746522903,1,34,-561.1335727572441,5,46,-1098.49458822608,47,15,-534.2540036737919,0,62,-471.43808606266975,1,36
17,1,1,-832.8866911947731,0,1,1,700,-627.1767418980598,0,76,-520.0562638044357,8,17,-814.1639068722725,31,0,-1309.005744755268,65,0,-694.0307986438274,22,5
18,8,1,-644.3787184059619,0,1,0,700,-477.4788412153721,0,26,-496.53439524769783,6,19,-439.48564395308495,6,0,-784.5369584262371,29,0,-823.857753187418,31,3
19,10,0,-604.5811760008336,0,1,0,700,-396.41955479979515,0,0,-724.7580293715,9,81,-518.129575908184,0,57,-398.2772926688194,0,17,-785.3214272558689,21,41
20,0,1,-504.4539404749868,0,1,0,700,-439.1589550971985,0,13,-350.35120502114296,0,0,-350.6194767355919,0,0,-824.7702397108078,28,18,-357.369825810194,0,2
21,2,0,-586.1247319102285,0,1,0,700,-468.5706452727318,0,23,-904.5658015012741,29,40,-410.13097935914993,0,20,-443.58565163612366,6,1,-503.77058178186417,0,52
22,11,0,-569.6153818905356,0,1,0,700,-417.2109695672989,1,1,-1012.5440782904625,30,71,-442.6841522157192,0,31,-353.2976445257664,0,1,-422.3400648534298,0,24
23,3,1,-468.1746086418632,0,1,0,700,-448.1982804238796,3,2,-428.64307844638824,0,27,-353.5060301721096,0,2,-350.36220622062683,0,1,-560.16344794631,0,72
24,10,1,-474.3344312131402,0,1,0,700,-413.8198846876621,0,5,-348.81416338682175,0,0,-370.33727434277534,0,7,-682.5840431153774,22,1,-356.1167905330658,0,2
25,6,1,-615.9036135196687,0,1,0,700,-502.6145138144493,5,10,-692.5857518613338,6,85,-495.13482388854027,0,49,-540.3554197251797,6,34,-648.8275583088398,19,5
26,7,1,-598.9016978323458,0,1,0,700,-423.88883194327354,0,9,-586.8680235743523,0,80,-614.3751798868179,0,89,-551.5295061469078,10,18,-617.8469476103783,13,25
27,2,1,-519.3539209961893,0,1,0,700,-414.3852746486664,0,5,-649.3890751302242,15,25,-355.92889016866684,0,2,-548.3041783869267,13,1,-428.7621866464615,2,17
28,9,0,211.72929377470697,1,0,0,41,218.5664004257747,0,0,-20.021104604005814,0,0,-20.09964182972908,0,0,-50.04479682445526,0,11,-22.897245436906815,0,1
29,0,0,-482.6160755097863,0,1,0,700,-498.59625163674355,2,24,-491.0349126756191,0,48,-479.42168805003166,0,44,-380.977021753788,0,11,-363.0505034327507,0,5
30,8,1,135.2098850854806,1,0,0,148,135.49187879051482,0,0,-72.29057496786118,0,0,-72.69143787026405,0,0,-72.68051007390022,0,0,-72.63707330822945,0,0
31,6,1,55.89012736422677,1,0,0,186,107.31947322828427,0,0,-344.6340905725956,17,0,-89.82247588038445,0,0,-90.29766994714737,0,0,-90.54317143559456,0,0
32,7,1,0.8486068444591695,1,0,0,212,-4.046348576034831,6,0,-253.44368988275528,10,0,-118.64723479747772,1,0,-211.3531396985054,7,1,-165.9808385372162,0,21
33,3,1,65.03668711866648,1,0,0,239,65.49073000039374,0,0,-116.25506657361984,0,0,-116.74476417899132,0,0,-117.11213651299477,0,0,-117.0524699985981,0,0
34,2,1,-317.5751168940749,1,0,0,269,-948.7388650391783,66,0,-836.8680391013622,47,0,-131.8893067240715,0,0,-153.05490672588348,0,7,-209.8958954513073,0,26
35,2,0,-455.07980115583916,1,0,0,327,-1548.1799009697777,103,0,-837.882879704237,45,1,-159.83887284994125,0,0,-162.93914005160332,0,1,-192.84392648935318,0,11
36,8,0,-255.5870586505963,1,0,0,330,-66.07060431156839,0,20,-758.8528480529785,32,39,-297.439131885767,9,0,-420.4612692296505,0,86,-357.96858263015747,0,65
37,11,1,-642.97774861455,0,1,0,700,-1506.2514858841896,74,0,-391.70326629281044,0,15,-416.0143822133541,3,8,-350.1754544377327,0,1,-350.74415424466133,0,1
38,4,0,-230.42490058456167,1,0,0,393,-519.4708805254527,31,0,-216.1232259273529,1,3,-315.4909618496895,0,41,-459.40868696570396,10,39,-192.48789051175117,0,0
39,3,0,-241.74389136433558,1,0,0,399,-60.18727648258209,0,0,-466.1891480088234,18,0,-196.75127202272415,0,0,-520.7353800237179,0,108,-508.85638028383255,0,104
40,2,1,145.21785987785887,1,0,0,135,145.31775977781842,0,0,-66.07100665569305,0,0,-66.46908351778984,0,0,-66.31156194210052,0,0,-66.09109398722649,0,0
41,7,0,-526.6706061082226,1,0,0,411,-1090.5579081731184,68,0,-1268.0995683670044,71,0,-203.04941120743752,0,0,-203.2288739681244,0,0,-398.7029831111431,12,5
42,3,0,217.43819588507927,1,0,0,43,218.09207232083594,0,0,-19.96140468120575,0,0,-20.508116006851196,0,0,-20.44966983795166,0,0,-20.839045226573944,0,0
43,4,1,-795.8204658150675,0,1,0,700,-1253.7360242903233,48,45,-444.7099260389805,2,22,-1068.6229236125946,48,0,-606.5883309841156,16,6,-405.4451241493225,0,19
44,3,1,-21.68196737936563,1,0,0,348,-21.905488635812475,0,0,-172.48811656236649,0,0,-172.35262823104858,0,0,-172.11612793803215,0,0,-171.83318981528282,0,0
45,4,1,216.07589771321844,1,0,0,37,222.35894000104497,0,0,-32.2884461581707,1,0,-32.293618619441986,1,0,-17.547235548496246,0,0,-17.564436823129654,0,0
46,5,0,-1449.44227691293,0,1,0,700,-863.2029129266739,31,0,-3180.153256237507,179,49,-1056.395319223404,37,51,-888.0959739089012,36,0,-1059.3639222681522,43,22
47,5,1,-767.239011454582,0,1,0,700,-1132.7278539836407,49,0,-1355.9553280472755,67,1,-396.46370881795883,0,16,-348.47987005114555,0,0,-402.5682963728905,1,13
48,5,1,244.2530151137284,1,0,0,8,244.25514252270972,0,0,-3.460868000984192,0,0,-3.4725911915302277,0,0,-3.456431895494461,0,0,-3.4573187232017517,0,0
49,9,1,-1102.815663594008,0,1,0,700,-1549.8504846394062,0,385,-1137.1194032728672,0,263,-714.5270129442215,2,113,-774.5824625492096,0,142,-1137.998954564333,8,223
50,7,0,46.45861439023702,1,0,0,258,39.03443132553781,0,3,-128.1502901017666,0,0,-128.0176187157631,0,0,-127.78436559438705,0,0,-127.93194210529327,0,0
51,1,0,-432.90074438452694,0,1,0,700,-495.6244074702263,0,32,-349.4852280020714,0,0,-421.3196047246456,0,24,-349.06734761595726,0,0,-349.0071341097355,0,0
52,6,0,-1019.3479337930681,0,1,0,700,-1728.6570183634758,32,284,-373.5299633741379,0,8,-937.6615144014359,16,117,-1237.5837436914444,0,297,-619.3074291348457,0,90
53,11,0,-668.9562404036517,0,1,0,700,-614.9784265458584,10,21,-405.9344932436943,1,13,-745.2421967685223,4,111,-681.87434643507,0,110,-696.751739025116,0,115
54,10,0,-889.510002321004,0,1,0,700,-468.26439341902733,0,24,-1060.6119537949562,17,153,-863.0120672881603,0,172,-659.0394512712955,0,104,-1196.622145831585,3,269
55,1,1,-2601.765539801123,0,1,2,700,-418.67526310682297,0,7,-2030.725034803152,112,1,-6686.951375424862,423,3,-2373.16094404459,136,0,-1299.3150816261768,63,2
56,0,1,-739.4403247296815,0,1,0,700,-402.91941168904305,0,1,-409.985214561224,4,0,-1145.3926831781864,51,10,-434.7119817137718,0,28,-1104.1923325061798,0,252
57,10,1,-3989.8278185367612,0,1,2,700,-413.95802772045135,1,0,-348.86732310056686,0,0,-963.7760916650295,41,0,-9108.696985274553,585,0,-8913.840664923191,572,0
58,5,0,5.268043917417515,1,0,0,98,166.4801431298256,0,3,-76.51637169718742,2,0,-46.65250167250633,0,0,-317.2444844543934,18,0,-587.7265657186508,36,0
59,9,0,-433.5213134288788,0,1,0,700,-472.2768082022667,2,15,-437.45327946543694,6,0,-347.5130194425583,0,0,-362.5973974466324,1,0,-347.7660625874996,0,0
60,6,0,185.94308264085223,1,0,0,61,204.53815928527285,0,0,-28.343851387500763,0,0,-118.7325688302517,6,0,-28.747503399848938,0,0,-29.284536749124527,0,0
61,11,0,183.7884677869933,1,0,0,68,199.23501906224658,0,0,-31.38288187980652,0,0,-91.8745728135109,4,0,-46.90955010056496,1,0,-32.411389619112015,0,0
62,0,0,-652.6266879379747,0,1,0,700,-649.7519948482513,0,84,-474.2706920206547,0,42,-348.4366462826729,0,0,-660.3360209167004,0,104,-930.3380856215954,0,194
63,5,1,63.56825465730262,1,0,0,142,142.01700415781568,0,0,-82.74895277619362,1,0,-442.8224896490574,25,0,-67.85985690355301,0,0,-68.45871725678444,0,0
64,0,0,204.6597187970366,1,0,0,60,204.8865988765444,0,0,-27.853916078805923,0,0,-28.184017926454544,0,0,-28.37963756918907,0,0,-28.5990047454834,0,0
65,8,1,-525.2125267088414,0,1,0,700,-870.9740306138992,0,158,-512.3696759343147,0,55,-347.5690287053585,0,0,-347.5845972299576,0,0,-347.5653010606766,0,0
66,6,1,-664.4880730390545,0,1,0,700,-951.0162701904774,17,99,-373.25283458828926,1,3,-349.4320055246353,0,0,-349.42795050144196,0,0,-1099.3113043904305,50,0
67,7,1,-684.8082454919818,0,1,0,700,-782.583808362484,0,128,-387.6603549718857,0,13,-528.6689666211605,0,60,-963.5897412002087,9,160,-561.5383563041687,14,1
68,1,1,-364.94197969521827,1,0,0,223,-115.7870577403477,13,0,-872.2101466953754,51,0,-1337.4548237919807,82,0,-107.12409588694572,0,0,-137.27663150429726,0,10
69,1,1,217.23266654099737,1,0,0,43,217.4716719516686,0,0,-20.367691934108734,0,0,-20.72644916176796,0,0,-20.498887687921524,0,0,-20.572453320026398,0,0
70,2,0,-566.2540604233741,0,1,0,700,-993.1756401658058,0,198,-424.415212392807,0,25,-514.5298427045345,11,0,-349.6256358027458,0,0,-349.5239710509777,0,0
71,8,0,-628.6204931497573,0,1,0,700,-626.3962303102016,0,76,-516.590538918972,2,46,-1104.2703875899315,50,2,-347.94799679517746,0,0,-347.8973121345043,0,0
72,11,1,-1769.2322997033568,0,1,0,700,-398.29378259181976,0,0,-1023.2773692011833,45,0,-2673.200366348028,155,0,-2463.0962078869343,141,0,-2088.2937724888325,116,0
73,4,0,-761.407123923301,0,1,0,700,-866.5651853084564,0,157,-415.0177908241749,0,23,-633.9423143565655,0,95,-1333.0436955988407,10,278,-358.466633528471,0,3
74,2,1,-526.0962157726286,0,1,0,700,-430.970803886652,0,11,-834.1581865251064,22,53,-470.77508160471916,5,16,-347.4230281114578,0,0,-347.1539787352085,0,0
75,8,0,185.26120406900134,1,0,0,83,184.92215197001184,0,0,-41.29094034433365,0,0,-41.14656776189804,0,0,-40.8491992354393,0,0,-40.47228142619133,0,0
